Zipcode,Small & Very Small,Medium,Large and Very Large,Total Businesses,Area,Business Density-Small Businesses,Business Density-Medium Businesses,Business Density-Large Businesses,Business Density-Total Businesses
10001,7055,179,39,7273,1609401,4.383618502,0.111221504,0.024232618,4.519072624
10002,2966,20,2,2988,2277670,1.302207958,0.008780903,0.00087809,1.311866952
10003,4161,98,18,4277,1493004,2.786998561,0.065639476,0.01205623,2.864694267
10004,1400,60,19,1479,1449744,0.965687735,0.041386617,0.013105762,1.020180115
10005,1226,59,11,1296,190416,6.438534577,0.309847912,0.057768255,6.806150744
10006,823,24,5,852,237784,3.461124382,0.100931938,0.021027487,3.583083807
10007,1387,28,9,1424,423358,3.276187057,0.066137879,0.021258604,3.363583539
10008,19,1,0,20,,,,,
10009,1212,7,1,1220,1596985,0.758930109,0.00438326,0.00062618,0.763939549
10010,2980,96,15,3091,1011819,2.94519079,0.094878629,0.014824786,3.054894205
10011,3802,95,8,3905,1705243,2.229594257,0.055710535,0.004691413,2.289996206
10012,2920,52,3,2975,837301,3.487395811,0.062104309,0.003582941,3.553083061
10013,5278,100,12,5390,1430444,3.689763458,0.069908364,0.008389004,3.768060826
10014,2369,59,10,2438,1474952,1.606153963,0.040001302,0.006779882,1.652935146
10016,5801,134,14,5949,1378326,4.208728559,0.097219381,0.010157249,4.316105188
10017,4777,212,33,5022,829152,5.761307939,0.255682915,0.039799699,6.056790552
10018,6589,185,32,6806,833392,7.9062434,0.221984372,0.038397297,8.16662507
10019,4642,221,40,4903,1761259,2.635614637,0.125478422,0.022711027,2.783804086
10020,685,51,11,747,71560,9.572386808,0.712688653,0.15371716,10.43879262
10021,3118,45,13,3176,1002597,3.109923529,0.044883438,0.012966326,3.167773293
10022,6153,204,30,6387,1130199,5.444173991,0.180499186,0.026543998,5.651217175
10023,2274,48,13,2335,1270408,1.789976134,0.037783137,0.010232933,1.837992204
10024,1982,15,2,1999,2221831,0.892057047,0.006751189,0.000900158,0.899708394
10025,2036,16,3,2055,1946717,1.045863369,0.008218966,0.001541056,1.055623391
10026,461,2,0,463,860745,0.535582548,0.002323569,0,0.537906116
10027,1007,21,5,1033,2257092,0.446149293,0.009304007,0.00221524,0.45766854
10028,1878,13,3,1894,813698,2.307981585,0.015976443,0.003686872,2.3276449
10029,1028,9,4,1041,2136945,0.481060579,0.00421162,0.001871831,0.48714403
10030,265,6,0,271,722465,0.366799776,0.008304901,0,0.375104676
10031,720,4,0,724,1685544,0.427161795,0.002373121,0,0.429534916
10032,850,5,3,858,1702842,0.499165513,0.002936268,0.001761761,0.503863541
10033,1007,6,1,1014,1565761,0.643137746,0.003832002,0.000638667,0.647608415
10034,594,5,1,600,2917184,0.203621026,0.001713982,0.000342796,0.205677804
10035,621,16,1,638,3616216,0.171726468,0.004424514,0.000276532,0.176427514
10036,5913,230,36,6179,1148108,5.150212349,0.200329586,0.031355935,5.38189787
10037,204,2,1,207,683722,0.29836688,0.002925165,0.001462583,0.302754628
10038,1869,44,18,1931,770757,2.424888778,0.057086734,0.023353664,2.505329176
10039,195,1,0,196,1199364,0.162586171,0.000833775,0,0.163419946
10040,572,4,1,577,976162,0.585968313,0.004097681,0.00102442,0.591090413
10041,27,22,2,51,,,,,
10043,12,2,0,14,,,,,
10044,100,1,1,102,625938,0.159760232,0.001597602,0.001597602,0.162955436
10045,3,0,1,4,,,,,
10055,27,5,1,33,,,,,
10065,1426,19,1,1446,1000544,1.425224678,0.01898967,0.000999456,1.445213804
10069,90,0,0,90,269802,0.333577957,0,0,0.333577957
10075,842,8,0,850,477958,1.761661066,0.016737872,0,1.778398939
10080,14,2,1,17,,,,,
10081,5,0,1,6,,,,,
10087,2,0,0,2,,,,,
10090,1,0,0,1,,,,,
10101,8,1,0,9,,,,,
10102,2,0,0,2,,,,,
10103,66,6,2,74,24776,2.66386826,0.242169842,0.080723281,2.986761382
10104,36,8,4,48,,,,,
10105,42,7,4,53,,,,,
10106,125,2,0,127,,,,,
10107,251,5,0,256,,,,,
10108,2,0,0,2,,,,,
10110,135,5,0,140,26711,5.054097563,0.187188799,0,5.241286361
10111,150,7,1,158,9576,15.6641604,0.730994152,0.104427736,16.49958229
10112,96,8,1,105,15253,6.293843834,0.524486986,0.065560873,6.883891693
10113,5,1,1,7,,,,,
10114,1,0,0,1,,,,,
10115,65,7,0,72,6618,9.821698398,1.057721366,0,10.87941976
10116,6,0,0,6,,,,,
10117,2,0,1,3,,,,,
10118,406,14,2,422,,,,,
10119,283,7,3,293,42613,6.641165841,0.16426912,0.070401051,6.875836012
10120,70,6,0,76,,,,,
10121,72,10,1,83,,,,,
10122,138,2,0,140,,,,,
10123,191,2,0,193,,,,,
10124,1,0,0,1,,,,,
10125,5,0,0,5,,,,,
10126,1,0,0,1,,,,,
10128,1670,22,2,1694,1219025,1.369947294,0.01804721,0.001640655,1.389635159
10129,4,0,0,4,,,,,
10138,1,0,0,1,,,,,
10150,13,0,0,13,,,,,
10151,49,2,0,51,,,,,
10152,60,3,1,64,12423,4.829751268,0.241487563,0.080495854,5.151734686
10153,107,9,3,119,12281,8.71264555,0.732839345,0.244279782,9.689764677
10154,73,4,3,80,12382,5.895654983,0.323049588,0.242287191,6.460991762
10155,143,0,0,143,,,,,
10156,7,0,0,7,,,,,
10158,41,6,1,48,,,,,
10159,3,0,0,3,,,,,
10160,1,0,0,1,,,,,
10162,17,1,0,18,29442,0.577406426,0.033965084,0,0.61137151
10163,18,0,0,18,,,,,
10164,1,0,0,1,,,,,
10165,360,4,0,364,13058,27.56930617,0.306325624,0,27.8756318
10166,94,17,3,114,,,,,
10167,129,11,3,143,12396,10.40658277,0.887383027,0.242013553,11.53597935
10168,191,4,1,196,13211,14.45764893,0.302777988,0.075694497,14.83612141
10169,164,7,0,171,9924,16.52559452,0.705360742,0,17.23095526
10170,273,10,2,285,24921,10.95461659,0.401268007,0.080253601,11.4361382
10171,53,6,0,59,12470,4.250200481,0.481154771,0,4.731355253
10172,62,7,2,71,12415,4.993958921,0.563834072,0.161095449,5.718888441
10173,62,4,0,66,12297,5.041880133,0.325282589,0,5.367162723
10174,120,11,0,131,13224,9.074410163,0.831820932,0,9.906231095
10175,85,3,0,88,,,,,
10176,83,4,0,87,,,,,
10177,56,4,0,60,5421,10.33019738,0.737871241,0,11.06806862
10178,58,5,1,64,,,,,
10179,9,1,3,13,,,,,
10185,7,0,0,7,,,,,
10199,12,0,0,12,66729,0.179831857,0,0,0.179831857
10203,1,0,0,1,,,,,
10212,1,0,0,1,,,,,
10261,1,0,0,1,,,,,
10265,1,0,0,1,,,,,
10268,2,0,0,2,,,,,
10270,22,1,0,23,,,,,
10271,103,17,1,121,6779,15.19398141,2.507744505,0.147514383,17.8492403
10272,0,1,0,1,,,,,
10274,3,0,0,3,,,,,
10276,4,0,0,4,,,,,
10278,10,0,1,11,33630,0.297353553,0,0.029735355,0.327088909
10279,131,4,0,135,10805,12.12401666,0.370198982,0,12.49421564
10280,166,1,0,167,358650,0.462846787,0.002788234,0,0.46563502
10281,101,17,7,125,,,,,
10282,166,4,0,170,226578,0.732639533,0.017653965,0,0.750293497
10285,20,2,1,23,,,,,
10286,27,0,2,29,,,,,
10292,11,0,0,11,,,,,
10301,686,8,1,695,9476759,0.072387617,0.00084417,0.000105521,0.073337309
10302,420,9,0,429,3093431,0.135771575,0.002909391,0,0.138680966
10303,377,11,1,389,8125465,0.046397345,0.001353769,0.00012307,0.047874183
10304,636,9,0,645,10035690,0.063373819,0.000896799,0,0.064270618
10305,853,7,2,862,11011994,0.077460994,0.000635671,0.00018162,0.078278285
10306,1099,5,3,1107,19355176,0.056780677,0.000258329,0.000154997,0.057194003
10307,278,3,0,281,5082132,0.054701452,0.000590303,0,0.055291756
10308,443,0,0,443,5110510,0.086684108,0,0,0.086684108
10309,746,14,2,762,17402201,0.042868141,0.000804496,0.000114928,0.043787565
10310,497,6,1,504,4650151,0.10687825,0.001290281,0.000215047,0.108383577
10311,17,0,0,17,122886,0.138339599,0,0,0.138339599
10312,884,4,0,888,19887900,0.044449137,0.000201127,0,0.044650265
10313,3,0,0,3,,,,,
10314,1845,32,3,1880,35520695,0.051941551,0.000900883,8.44578E-05,0.052926892
10451,794,27,3,824,2628487,0.30207492,0.010272069,0.001141341,0.31348833
10452,707,4,1,712,2550148,0.277238811,0.001568536,0.000392134,0.279199482
10453,694,6,0,700,2372412,0.292529291,0.002529072,0,0.295058363
10454,612,10,0,622,2699702,0.226691687,0.003704113,0,0.230395799
10455,688,17,2,707,1844518,0.372997173,0.0092165,0.001084294,0.383297967
10456,622,6,2,630,2637787,0.235803725,0.002274634,0.000758211,0.23883657
10457,782,5,3,790,2748734,0.284494607,0.001819019,0.001091412,0.287405038
10458,1045,8,5,1058,2613249,0.399885353,0.003061323,0.001913327,0.404860004
10459,565,6,0,571,2115928,0.267022318,0.002835635,0,0.269857954
10460,538,9,1,548,3407078,0.15790657,0.00264156,0.000293507,0.160841636
10461,1198,15,7,1220,6215148,0.192754863,0.002413458,0.001126281,0.196294602
10462,1046,16,3,1065,3833088,0.27288703,0.00417418,0.000782659,0.277843869
10463,1070,10,3,1083,3745408,0.285683162,0.002669936,0.000800981,0.289154079
10464,143,2,0,145,9070627,0.015765173,0.000220492,0,0.015985664
10465,504,11,1,516,8882828,0.056738687,0.001238344,0.000112577,0.058089608
10466,601,12,2,615,5227062,0.114978548,0.002295745,0.000382624,0.117656917
10467,1059,12,4,1075,6035762,0.175454234,0.00198815,0.000662717,0.178105101
10468,821,5,2,828,2784853,0.294809098,0.001795427,0.000718171,0.297322695
10469,670,12,1,683,6414680,0.104447923,0.001870709,0.000155892,0.106474524
10470,290,4,0,294,3689950,0.078591851,0.001084026,0,0.079675876
10471,415,9,3,427,6687174,0.0620591,0.00134586,0.00044862,0.06385358
10472,554,3,0,557,2720837,0.203613814,0.001102602,0,0.204716416
10473,331,14,0,345,5645604,0.058629688,0.002479806,0,0.061109493
10474,634,33,0,667,3970898,0.159661618,0.008310463,0,0.167972081
10475,348,12,3,363,4463108,0.07797257,0.002688709,0.000672177,0.081333456
11001,713,5,0,718,5775030,0.123462562,0.000865796,0,0.124328358
11003,620,12,0,632,10723323,0.057817898,0.001119056,0,0.058936955
11004,240,0,1,241,2460789,0.097529695,0,0.000406374,0.097936068
11005,32,1,0,33,472584,0.06771283,0.002116026,0,0.069828856
11040,1520,16,3,1539,12388380,0.122695623,0.001291533,0.000242162,0.124229318
11101,2827,91,13,2931,6773846,0.417340459,0.013434023,0.001919146,0.432693628
11102,715,5,1,721,2092161,0.341751902,0.002389873,0.000477975,0.34461975
11103,1177,4,0,1181,1841677,0.639091437,0.002171934,0,0.64126337
11104,593,4,3,600,1010093,0.587074656,0.003960031,0.002970024,0.59400471
11105,969,9,3,981,4226734,0.229255023,0.002129304,0.000709768,0.232094094
11106,1086,9,2,1097,2219776,0.489238554,0.004054463,0.000900992,0.494194009
11109,55,0,0,55,103922,0.529243086,0,0,0.529243086
11120,25,1,0,26,,,,,
11201,2854,66,16,2936,3680347,0.775470356,0.017933092,0.004347416,0.797750864
11202,19,0,0,19,,,,,
11203,839,7,7,853,5557080,0.150978571,0.001259654,0.001259654,0.15349788
11204,2097,11,0,2108,4115356,0.509554945,0.002672916,0,0.512227861
11205,1184,12,2,1198,2459479,0.481402769,0.004879082,0.00081318,0.487095031
11206,1183,9,5,1197,3715223,0.318419648,0.002422466,0.001345814,0.322187928
11207,958,24,1,983,6917454,0.13849026,0.003469485,0.000144562,0.142104306
11208,857,10,1,868,8951522,0.095737909,0.001117128,0.000111713,0.09696675
11209,1944,10,2,1956,5599867,0.347151102,0.001785757,0.000357151,0.34929401
11210,992,10,1,1003,4250381,0.233390842,0.00235273,0.000235273,0.235978845
11211,2784,32,8,2824,5952757,0.467682454,0.00537566,0.001343915,0.474402029
11212,725,3,3,731,3983224,0.182013364,0.000753159,0.000753159,0.183519682
11213,751,3,1,755,2825709,0.265774006,0.00106168,0.000353893,0.26718958
11214,1791,14,2,1807,5658758,0.316500547,0.002474041,0.000353434,0.319328022
11215,2135,12,2,2149,5641351,0.378455444,0.00212715,0.000354525,0.380937119
11216,710,6,0,716,2422753,0.293055049,0.002476522,0,0.295531571
11217,1203,20,5,1228,1944333,0.618721176,0.010286304,0.002571576,0.631579056
11218,1674,10,3,1687,3699262,0.452522692,0.002703242,0.000810973,0.456036907
11219,2751,19,7,2777,3838518,0.716682845,0.004949827,0.00182362,0.723456292
11220,2447,26,2,2475,4639238,0.527457311,0.005604369,0.000431105,0.533492785
11221,609,6,0,615,3582802,0.169978693,0.001674667,0,0.17165336
11222,1570,11,3,1584,3947645,0.397705467,0.002786471,0.000759947,0.401251886
11223,2041,10,5,2056,5372270,0.379913891,0.001861411,0.000930705,0.382706007
11224,658,5,2,665,3999168,0.164534223,0.00125026,0.000500104,0.166284587
11225,669,4,0,673,2289249,0.292235576,0.001747298,0,0.293982874
11226,1246,9,1,1256,3339497,0.373110082,0.002695017,0.000299446,0.376104545
11228,889,2,0,891,3807131,0.23350917,0.00052533,0,0.2340345
11229,2007,14,3,2024,5611289,0.357671829,0.00249497,0.000534637,0.360701436
11230,2065,25,5,2095,4765012,0.433367219,0.005246577,0.001049315,0.439663111
11231,1132,13,0,1145,3683315,0.307331846,0.003529429,0,0.310861276
11232,1270,23,1,1294,3323376,0.382141533,0.006920673,0.000300899,0.389363105
11233,461,7,0,468,3491031,0.13205268,0.002005138,0,0.134057818
11234,1758,14,4,1776,19547849,0.089933169,0.000716191,0.000204626,0.090853986
11235,2497,17,2,2516,5816304,0.429310435,0.002922818,0.000343861,0.432577114
11236,966,11,3,980,9311387,0.103743943,0.001181349,0.000322186,0.105247478
11237,985,11,1,997,2537578,0.388165408,0.004334842,0.000394077,0.392894327
11238,1005,7,1,1013,2863622,0.350954141,0.002444457,0.000349208,0.353747806
11239,68,5,2,75,1477966,0.046009177,0.003383028,0.001353211,0.050745416
11241,68,1,0,69,,,,,
11242,127,1,0,128,,,,,
11243,21,0,0,21,,,,,
11245,15,2,1,18,,,,,
11247,2,0,0,2,,,,,
11249,472,7,1,480,,,,,
11251,1,0,0,1,,,,,
11252,9,0,0,9,,,,,
11256,2,0,0,2,,,,,
11351,3,0,0,3,7592,0.395152792,0,0,0.395152792
11352,8,0,0,8,,,,,
11354,3164,25,4,3193,5612651,0.563726481,0.004454223,0.000712676,0.56889338
11355,2027,7,3,2037,4493721,0.451073843,0.001557729,0.000667598,0.45329917
11356,764,17,0,781,4069871,0.187720938,0.004177037,0,0.191897974
11357,925,11,0,936,7256742,0.127467671,0.001515832,0,0.128983503
11358,1278,4,0,1282,5048954,0.253121736,0.000792243,0,0.253913979
11359,7,1,0,8,636668,0.010994741,0.001570677,0,0.012565419
11360,353,2,1,356,3691086,0.09563581,0.000541846,0.000270923,0.096448579
11361,1044,3,2,1049,4553960,0.229251025,0.000658767,0.000439178,0.230348971
11362,471,5,1,477,6518633,0.072254413,0.000767032,0.000153406,0.073174851
11363,175,0,0,175,2249596,0.077791746,0,0,0.077791746
11364,583,1,0,584,6386921,0.09128029,0.00015657,0,0.09143686
11365,704,9,1,714,6466314,0.108871917,0.001391828,0.000154648,0.110418393
11366,464,3,0,467,2835025,0.163666987,0.001058192,0,0.164725179
11367,647,6,0,653,6162139,0.104996009,0.000973688,0,0.105969697
11368,1360,17,0,1377,6816707,0.199509822,0.002493873,0,0.202003695
11369,309,9,1,319,2765090,0.111750431,0.003254867,0.000361652,0.11536695
