"","ID","BoroCode","Borough","CD","CDName","TaxBlock","TaxLot","FacName","FacAddress","ZipCode","FacType","GroupType","SGroupType","Capacity","CapType","Acreage","PKtoG8","G9toG12","AgencyOper","AgencyOver","CT2010","Tract2010","CouncilDis","SchoolDist","PolicePrct","HealthArea","BBL","XCoord","YCoord","SvcArea","Address","coords","lon","lat","address"
"18895","14000000000449",3,"BK",301,"BROOKLYN COMMUNITY DISTRICT 1",3098,19,"BUSHWICK LIBRARY","340 Bushwick Ave",11206,1401,2,21,70972,3,NA,NA,NA,5,5,489,489,34,14,90,1500,3030980019,1000988,195967,"L","340 Bushwick Ave, 11206",-73.9396345,-73.9396345,40.7045588,"340 bushwick ave, brooklyn, ny 11206, usa"
"18896","14000000000450",3,"BK",301,"BROOKLYN COMMUNITY DISTRICT 1",2621,32,"GREENPOINT LIBRARY","107 Norman Ave",11222,1401,2,21,236430,3,NA,NA,NA,5,5,573,573,33,14,94,200,3026210032,997916,203792,"L","107 Norman Ave, 11222",-73.9507252,-73.9507252,40.726017,"107 norman ave, brooklyn, ny 11222, usa"
"18897","14000000000451",3,"BK",301,"BROOKLYN COMMUNITY DISTRICT 1",2762,21,"LEONARD LIBRARY","81 Devoe St",11211,1401,2,21,154001,3,NA,NA,NA,5,5,503,503,34,14,90,700,3027620021,998673,199285,"L","81 Devoe St, 11211",-73.9479543,-73.9479543,40.7136562,"81 devoe st, brooklyn, ny 11211, usa"
"18898","14000000000452",3,"BK",301,"BROOKLYN COMMUNITY DISTRICT 1",2189,1,"WILLIAMSBURGH LIBRARY","240 Division Ave",11211,1401,2,21,117505,3,NA,NA,NA,5,5,529,529,33,14,90,600,3021890001,996011,196839,"L","240 Division Ave, 11211",-73.9575752,-73.9575752,40.7069161,"240 division ave, brooklyn, ny 11211, usa"
"18899","14000000000453",3,"BK",302,"BROOKLYN COMMUNITY DISTRICT 2",2039,1,"WALT WHITMAN LIBRARY","93 St Edwards St",11205,1401,2,21,64282,3,NA,NA,NA,5,5,29.01,2901,35,13,88,1100,3020390001,990423,192303,"L","93 St Edwards St, 11205",-73.977734,-73.977734,40.6944792,"93 st edwards st, brooklyn, ny 11205, usa"
"18900","14000000000454",3,"BK",303,"BROOKLYN COMMUNITY DISTRICT 3",1997,32,"BEDFORD LIBRARY","496 Franklin Ave",11238,1401,2,21,64559,3,NA,NA,NA,5,5,227,227,35,13,79,1300,3019970032,996408,187682,"L","496 Franklin Ave, 11238",-73.9562073,-73.9562073,40.6818136,"496 franklin ave, brooklyn, ny 11238, usa"
"18901","14000000000455",3,"BK",303,"BROOKLYN COMMUNITY DISTRICT 3",1665,1,"MACON LIBRARY","361 Lewis Ave",11233,1401,2,21,74401,3,NA,NA,NA,5,5,295,295,36,16,81,3000,3016650001,1002340,188127,"L","361 Lewis Ave, 11233",-73.9347867,-73.9347867,40.683018,"361 lewis ave, brooklyn, ny 11233, usa"
"18902","14000000000456",3,"BK",304,"BROOKLYN COMMUNITY DISTRICT 4",3241,18,"DEKALB LIBRARY","790 Bushwick Ave",11221,1401,2,21,88253,3,NA,NA,NA,5,5,393,393,34,32,83,3200,3032410018,1004112,192424,"L","790 Bushwick Ave, 11221",-73.9283989,-73.9283989,40.6948198,"790 bushwick ave, brooklyn, ny 11221, usa"
"18903","14000000000457",3,"BK",305,"BROOKLYN COMMUNITY DISTRICT 5",3923,52,"ARLINGTON LIBRARY","203 Arlington Ave",11207,1401,2,21,75214,3,NA,NA,NA,5,5,1172.01,117201,37,19,75,3820,3039230052,1015526,187290,"L","203 Arlington Ave, 11207",-73.887259,-73.887259,40.6806825,"203 arlington ave, brooklyn, ny 11207, usa"
"18904","14000000000458",3,"BK",305,"BROOKLYN COMMUNITY DISTRICT 5",4247,33,"CYPRESS HILLS LIBRARY","1197 Sutter Ave",11208,1401,2,21,86674,3,NA,NA,NA,5,5,1196,1196,42,19,75,6410,3042470033,1019192,184387,"L","1197 Sutter Ave, 11208",-73.8740351,-73.8740351,40.6727044,"1197 sutter ave, brooklyn, ny 11208, usa"
