"","Zipcode","Branch","July","August","September","October","November","December","January","February","March","April","May","June","July.1","August.1","September.1","October.1","November.1","December.1","January.1","February.1","March.1","April.1","May.1","June.1","July.2","August.2","September.2","October.2","November.2","December.2","January.2","February.2","March.2","April.2","May.2","June.2","FacName","lat","lon","ZipCode","sum_2014","sum_2015","Small...Very.Small","Medium","Large.and.Very.Large","Total.Businesses","Area","Business.Density.Small.Businesses","Business.Density.Medium.Businesses","Business.Density.Large.Businesses","Business.Density.Total.Businesses"
"1",11201,"Brooklyn Heights",224,579,668,717,887,37,801,839,1138,1090,1124,910,538,429,465,426,707,1100,909,996,1143,1303,1121,915,435,479,564,1175,1038,1091,1079,1194,1335,1299,1242,1086,"Brooklyn Heights Library",40.6957321,-73.9913921,11201,78322,10487,"2854",66,16,"2936",3680347,0.775470356,0.017933092,0.004347416,0.797750864
"2",11203,"Rugby",337,380,392,277,294,246,324,310,278,276,217,294,324,298,275,269,242,329,270,239,303,283,252,300,305,331,319,331,301,344,340,352,385,389,354,393,"Rugby Library",40.648632,-73.9303952,11203,78322,3689,"839",7,7,"853",5557080,0.150978571,0.001259654,0.001259654,0.15349788
"3",11204,"Ryder",379,382,373,246,312,272,279,300,335,335,337,314,379,320,344,353,264,379,256,259,308,340,275,366,334,334,352,348,377,324,317,331,317,355,381,408,"Ryder Library",40.6158888,-73.9756679,11204,78322,4177,"2097",11,0,"2108",4115356,0.509554945,0.002672916,0,0.512227861
"4",11204,"Mapleton",541,580,561,460,518,488,424,556,556,496,550,357,497,498,498,494,451,583,423,365,417,489,461,503,446,463,484,497,529,464,397,425,465,443,535,557,"Mapleton Library",40.6231592,-73.989456,11204,78322,6125,"2097",11,0,"2108",4115356,0.509554945,0.002672916,0,0.512227861
"5",11205,"Walt Whitman",293,312,311,240,337,267,253,263,223,156,222,220,232,223,241,210,170,288,184,190,199,201,205,250,226,225,237,226,202,208,193,180,225,214,190,236,"Walt Whitman Library",40.6944792,-73.977734,11205,78322,2819,"1184",12,2,"1198",2459479,0.481402769,0.004879082,0.00081318,0.487095031
"6",11206,"Bushwick",203,443,463,380,430,367,346,385,222,229,126,263,334,294,324,349,280,374,291,281,305,295,285,313,324,324,369,391,310,395,321,315,317,328,357,385,"Bushwick Library",40.7045588,-73.9396345,11206,78322,4049,"1183",9,5,"1197",3715223,0.318419648,0.002422466,0.001345814,0.322187928
"7",11207,"Arlington",254,350,366,241,281,210,245,242,239,200,236,259,281,227,21,16,8,12,14,162,198,203,184,242,254,268,277,267,291,342,305,310,338,320,323,360,"Arlington Library",40.6806825,-73.887259,11207,78322,1822,"958",24,1,"983",6917454,0.13849026,0.003469485,0.000144562,0.142104306
"8",11207,"New Lots",524,600,532,422,581,444,356,403,464,392,440,528,509,506,525,492,439,589,469,460,547,595,516,557,664,706,669,654,714,675,559,703,693,651,305,444,"New Lots Library",40.6651545,-73.886118,11207,78322,6868,"958",24,1,"983",6917454,0.13849026,0.003469485,0.000144562,0.142104306
"9",11207,"Spring Creek",235,345,344,231,350,246,223,251,208,230,188,225,219,218,242,238,143,213,164,167,169,175,164,190,195,236,197,210,184,193,185,218,201,229,270,276,"Spring Creek Library",40.6531457,-73.8855788,11207,78322,2497,"958",24,1,"983",6917454,0.13849026,0.003469485,0.000144562,0.142104306
"10",11208,"Cypress Hills",421,474,462,359,508,321,393,478,398,309,320,365,373,415,423,460,425,499,387,385,383,431,389,404,406,446,464,453,459,434,430,461,471,481,497,341,"Cypress Hills Library",40.6727044,-73.8740351,11208,78322,5380,"857",10,1,"868",8951522,0.095737909,0.001117128,0.000111713,0.09696675
"11",11209,"Bay Ridge",624,680,763,526,655,594,573,746,826,795,846,942,1091,934,1018,959,858,1100,876,881,948,1006,940,1085,971,1182,1152,1039,995,1053,996,993,1169,1108,1051,1264,"Bay Ridge Library",40.6336536,-74.0295368,11209,78322,12667,"1944",10,2,"1956",5599867,0.347151102,0.001785757,0.000357151,0.34929401
"12",11209,"Fort Hamilton",319,298,197,255,322,291,271,335,392,310,344,348,352,380,406,404,350,433,383,362,343,393,372,420,373,386,430,368,373,378,385,423,436,391,415,356,"Fort Hamilton Library",40.6163661,-74.0313474,11209,78322,4971,"1944",10,2,"1956",5599867,0.347151102,0.001785757,0.000357151,0.34929401
"13",11210,"Clarendon",435,427,509,368,392,345,339,395,320,313,313,353,375,322,359,347,276,369,263,256,267,275,307,353,348,340,336,324,331,346,362,373,422,407,397,429,"Clarendon Library",40.6357407,-73.9476558,11210,78322,4117,"992",10,1,"1003",4250381,0.233390842,0.00235273,0.000235273,0.235978845
"14",11211,"Leonard",426,457,450,304,444,338,378,418,454,347,438,484,474,481,414,401,368,453,310,331,389,290,309,431,446,436,404,426,408,433,391,440,443,415,443,466,"Leonard Library",40.7136562,-73.9479543,11211,78322,5097,"2784",32,8,"2824",5952757,0.467682454,0.00537566,0.001343915,0.474402029
