"","ELMATEXP","TOTEXPCO","PRMATEXP","Year","LIBNAME","e_expend","BKVOL","BKMOB","EBOOK","per_ebook","test_exp","test_books"
"5703","1235947.00 ","6272589.00 ","$4,037,065.00 ","01/01/2013","BROOKLYN PUBLIC LIBRARY",5.0751278169695,3151567,4,61225,20.1869661086158,1235947,61225
"6236","531593.00 ","3750926.00 ","$2,641,816.00 ","01/01/2013","QUEENS BOROUGH PUBLIC LIBRARY",7.05601089555355,4892486,0,46127,11.5245517809526,531593,46127
"6430","5915097.00 ","24472962.00 ","$15,276,997.00 ","01/01/2013","NEW YORK PUBLIC LIBRARY, THE BRANCH LIBRARIES",4.13737289515286,22016271,0,398013,14.8615673357403,5915097,398013
"5511","","4858000.00","","01/01/1992","BROOKLYN PUBLIC LIBRARY",NA,5255084,1,NA,NA,NA,NA
"14432","","4760695.00","","01/01/1993","BROOKLYN PUBLIC LIBRARY",NA,5583072,1,NA,NA,NA,NA
"50765","1041040.00","10385413.00","","01/01/1997","QUEENS BOROUGH PUBLIC LIBRARY",9.97599804042112,8872702,0,NA,NA,1041040,NA
"59184","300000.00","10475255.00","","01/01/1998","BROOKLYN PUBLIC LIBRARY",34.9175166666667,6589978,1,NA,NA,3e+05,NA
"59719","610470.00","10860164.00","","01/01/1998","QUEENS BOROUGH PUBLIC LIBRARY",17.7898406146084,9666195,0,NA,NA,610470,NA
"68178","500000.00","11076364.00","","01/01/1999","BROOKLYN PUBLIC LIBRARY",22.152728,6495564,1,NA,NA,5e+05,NA
"68713","518291.00","12554389.00","","01/01/1999","QUEENS BOROUGH PUBLIC LIBRARY",24.2226644877106,9164358,0,NA,NA,518291,NA
"77252","732400.00","11997719.00","","01/01/2000","BROOKLYN PUBLIC LIBRARY",16.3813749317313,6669651,1,NA,NA,732400,NA
"77789","790141.00","10985922.00","","01/01/2000","QUEENS BOROUGH PUBLIC LIBRARY",13.9037488245769,9589861,0,NA,NA,790141,NA
"77989","500000.00","25499441.00","","01/01/2000","NEW YORK PUBLIC LIBRARY",50.998882,18730043,0,NA,NA,5e+05,NA
"86380","0.00","8609854.00","","01/01/2001","BROOKLYN PUBLIC LIBRARY",Inf,6777703,2,NA,NA,0,NA
"86912","886064.00","10260470.00","","01/01/2001","QUEENS BOROUGH PUBLIC LIBRARY",11.5798294479857,9595051,0,NA,NA,886064,NA
"87107","0.00","33787707.00","","01/01/2001","NEW YORK PUBLIC LIBRARY",Inf,19080814,0,NA,NA,0,NA
"95507","0.00","8309084.00","","01/01/2002","BROOKLYN PUBLIC LIBRARY",Inf,7099406,2,NA,NA,0,NA
"96039","991632.00","8849333.00","","01/01/2002","QUEENS BOROUGH PUBLIC LIBRARY",8.92400910821756,9119334,0,NA,NA,991632,NA
"96238","0.00","26482810.00","","01/01/2002","NEW YORK PUBLIC LIBRARY",Inf,19386559,0,NA,NA,0,NA
"104720","405035.00","7360095.00","$5322794.00","01/01/2003","BROOKLYN PUBLIC LIBRARY",18.1715036972114,6092737,2,0,Inf,405035,0
"105253","638792.00","9392569.00","$8241307.00","01/01/2003","QUEENS BOROUGH PUBLIC LIBRARY",14.7036421871282,7689246,0,1033,618.385285575992,638792,1033
"105448","0.00","21981574.00","$21179301.00","01/01/2003","NEW YORK PUBLIC LIBRARY",Inf,19681803,0,0,NA,0,0
"113921","1609585.00","5818211.00","$3215981.00","01/01/2004","BROOKLYN PUBLIC LIBRARY",3.6147273986773,4489647,2,4187,384.424408884643,1609585,4187
"114452","515464.00","8779882.00","$7736592.00","01/01/2004","QUEENS BOROUGH PUBLIC LIBRARY",17.0329683547251,5848127,0,6650,77.5133834586466,515464,6650
"114647","0.00","22209173.00","$22199767.00","01/01/2004","NEW YORK PUBLIC LIBRARY, THE BRANCH LIBRARIES",Inf,20017441,0,127346,0,0,127346
"123128","1620949.00","4939202.00","$2809079.00","01/01/2005","BROOKLYN PUBLIC LIBRARY",3.04710512175275,4474819,2,7426,218.280231618637,1620949,7426
"123660","982984.00","10915183.00","$9370556.00","01/01/2005","QUEENS BOROUGH PUBLIC LIBRARY",11.1041308912454,5959874,0,8059,121.973445836952,982984,8059
"123857","0.00","24162796.00","$24139407.00","01/01/2005","NEW YORK PUBLIC LIBRARY, THE BRANCH LIBRARIES",Inf,20280526,0,135598,0,0,135598
"132360","1679138.00","5534438.00","$2784393.00","01/01/2006","BROOKLYN PUBLIC LIBRARY",3.29599949497897,4635691,2,1638,1025.11477411477,1679138,1638
"132894","560947.00","10055570.00","$8590319.00","01/01/2006","QUEENS BOROUGH PUBLIC LIBRARY",17.9260607508374,6050033,1,11956,46.9176145868183,560947,11956
"133090","46291.00","26650776.00","$26555658.00","01/01/2006","NEW YORK PUBLIC LIBRARY, THE BRANCH LIBRARIES",575.722624268216,20735254,0,134968,0.342977594689111,46291,134968
"141535","1896440.00","8147135.00","$5413686.00","01/01/2007","BROOKLYN PUBLIC LIBRARY",4.29601516525701,3109467,2,2384,795.486577181208,1896440,2384
"142064","935821.00","10849934.00","$8983362.00","01/01/2007","QUEENS BOROUGH PUBLIC LIBRARY",11.5940270628678,5717821,1,15592,60.0193047716778,935821,15592
"142259","10185.00","27811653.00","$27762839.00","01/01/2007","NEW YORK PUBLIC LIBRARY, THE BRANCH LIBRARIES",2730.64830633284,21095163,0,202947,0.0501855164156159,10185,202947
"150790","1908796.00","9851612.00","$7032749.00","01/01/2008","BROOKLYN PUBLIC LIBRARY",5.16116546765605,3688047,2,2987,639.034482758621,1908796,2987
"151320","485310.00","10994034.00","$9247518.00","01/01/2008","QUEENS BOROUGH PUBLIC LIBRARY",22.6536316993262,6277001,0,16749,28.9754612215655,485310,16749
"151516","9285.00","32774759.00","$32725101.00","01/01/2008","NEW YORK PUBLIC LIBRARY, THE BRANCH LIBRARIES",3529.86095853527,21611832,0,151996,0.061087133871944,9285,151996
"160078","1059690.00","7448824.00","$5425613.00","01/01/2009","BROOKLYN PUBLIC LIBRARY",7.02924817635346,3943126,2,6923,153.068034089268,1059690,6923
"160803","26437.00","21567956.00","$21531804.00","01/01/2009","NEW YORK PUBLIC LIBRARY, THE BRANCH LIBRARIES",815.824639709498,21528651,0,198387,0.133259739801499,26437,198387
"169383","1248169.00","9326834.00","$6654862.00","01/01/2010","BROOKLYN PUBLIC LIBRARY",7.47241279025517,3631313,4,11083,112.620138951547,1248169,11083
"169912","307183.00","7410194.00","$6114632.00","01/01/2010","QUEENS BOROUGH PUBLIC LIBRARY",24.1230601953884,5658275,0,12536,24.504068283344,307183,12536
"170109","10041.00","29874549.00","$29858263.00","01/01/2010","NEW YORK PUBLIC LIBRARY, THE BRANCH LIBRARIES",2975.25634896923,20919629,0,182256,0.0550928364498288,10041,182256
"178691","989967.00","5427037.00","$3399214.00","01/01/2011","BROOKLYN PUBLIC LIBRARY",5.48203829016523,3208769,4,29060,34.0663110805231,989967,29060
"179224","262990.00","4307412.00","$3459012.00","01/01/2011","QUEENS BOROUGH PUBLIC LIBRARY",16.3786151564698,6102360,0,17908,14.6856153674335,262990,17908
"179419","0.00","21902668.00","$21900168.00","01/01/2011","NEW YORK PUBLIC LIBRARY, THE BRANCH LIBRARIES",Inf,20528019,0,218457,0,0,218457
"188000","1414870.00","7142083.00","$4664460.00","01/01/2012","BROOKLYN PUBLIC LIBRARY",5.04787224267954,3179126,4,43994,32.1605218893485,1414870,43994
"188530","498600.00","4119147.00","$3077246.00","01/01/2012","QUEENS BOROUGH PUBLIC LIBRARY",8.26142599277978,4481261,0,27192,18.3362753751103,498600,27192
