"","LIBID","LIBNAME","PHONE","CENTLIB","BRANLIB","BKMOB","MASTER","LIBRARIA","OTHPAID","LOCGVT","STGVT","FEDGVT","OTHINCM","TOTINCM","TOTEXPCO","TOTOPEXP","CAPITAL","BKVOL","SUBSCRIP","REFERENC","TOTCIR","LOANTO","LOANFM","KIDCIRCL","KIDATTEN","C_RELATN","C_LEGBAS","C_ADMIN","CNTY","POPU_UND","FSCSKEY","STABR","OBEREG","RSTATUS","C_FSCS","ELMATEXP","GEOCODE","POPU_LSA","TOTSTAFF","HRS_OPEN","VISITS","GPTERMS","YR_SUB","ADDRES_M","ZIP4_M","LSABOUND","PRMATEXP","OTHMATEX","CAP_REV","EBOOK","DATABASE","STARTDAT","ENDDATE","TOTPRO","TOTATTEN","LCAP_REV","SCAP_REV","OCAP_REV","KIDPRO","STATSTRU","STATNAME","STATADDR","DB_ST","REGBOR","PITUSR","LONGITUD","FIPSST","FIPSCO","FIPSPLAC","CENBLOCK","CDCODE","CNTYPOP","LOCALE","YAPRO","YAATTEN","AUDIO_PH","AUDIO_DL","VIDEO_PH","VIDEO_DL","CBSA","MICROF","DB_LO_OT","GAL","GALMS","POSTMS","Year"
"5703","400300000","BROOKLYN PUBLIC LIBRARY","7182302404",1,59,4,241.5,261.63,526.31,"$81,684,651.00 ","$8,012,548.00 ","$1,578,667.00 ","18881522","$110,157,388.00 ","$6,272,589.00 ","$102,750,893.00 ","$7,274,308.00 ",3151567,6767,3524976,17461510,4047,3588,6762630,405350,"HQ","NP","MO","KINGS",2488470,"NY0004","NY",2,1,"Y","$1,235,947.00 ","CO1",2504700,787.94,136027,10066773,1337,2014,"10 GRAND ARMY PLAZA","5600","N","$4,037,065.00 ","$999,577.00 ","$1,444,463.00 ",61225,68,"1/1/2013 0:00","12/31/2013 0:00",38247,664449,"$0.00 ","$1,444,463.00 ","$0.00 ",17347,0,0,0,11,1136646,2225956,-73.9695039,36,47,51000,1003,"3609",2602373,"11",4944,59079,47773,9190,249135,918,35620,"0",57,"house","STD","NND","01/01/2013"
"6236","6800310000","QUEENS BOROUGH PUBLIC LIBRARY","7189900700",1,61,0,294.88,294.88,747.25,"$88,369,203.00 ","$7,767,476.00 ","$4,327,229.00 ","5544078","$106,007,986.00 ","$3,750,926.00 ","$103,246,061.00 ","$824,765.00 ",4892486,7326,4502173,16924526,3257,1593,6254175,294677,"HQ","CO","MO","QUEENS",2216267,"NY0562","NY",2,1,"Y","$531,593.00 ","CO1",2230722,1042.13,125268,11888000,1650,2014,"89-11 MERRICK BOULEVARD","5242","N","$2,641,816.00 ","$577,517.00 ","$0.00 ",46127,30,"1/1/2013 0:00","12/31/2013 0:00",37973,664114,"$0.00 ","$0.00 ","$0.00 ",16350,0,0,0,11,884791,2464236,-73.795305,36,81,51000,2006,"3605",2303993,"11",5688,87830,114636,4340,442443,262,35620,"0",19,"postalcode-sub","PCR","POC","01/01/2013"
"6430","4801290000","NEW YORK PUBLIC LIBRARY, THE BRANCH LIBRARIES","2126420118",1,87,0,332.8,515.68,1267.79,"$146,087,186.00 ","$13,088,981.00 ","$852,821.00 ","50271191","$210,300,179.00 ","$24,472,962.00 ","$238,016,888.00 ","$37,031,567.00 ",22016271,55978,7330245,26531801,7449,7137,7122567,682048,"HQ","NP","MO","NEW YORK",3417422,"NY0778","NY",2,1,"Y","$5,915,097.00 ","MC1",3439711,1783.47,213148,17701811,4123,2014,"455 FIFTH AVENUE","118","N","$15,276,997.00 ","$3,280,868.00 ","$32,016,914.00 ",398013,345,"1/1/2013 0:00","12/31/2013 0:00",65369,1260108,"$13,148,547.00 ","$1,732,093.00 ","$16,968,799.00 ",27752,0,0,0,11,2370050,5885196,-73.9819141,36,61,51000,1003,"3612",1632005,"11",9911,124485,675832,147925,796018,85270,35620,"0",334,"house","STD","NND","01/01/2013"
"5511","400300000","BROOKLYN PUBLIC LIBRARY","7187807804",1,59,1,315,315,644,"$30575274.00","$5336717.00","$406256.00","$1633000.00","$37951247.00","$4858000.00","$34773923.00",NA,5255084,19206,3324136,8884103,3418,19426,3272519,65541,"HQ","NP","MO","-1",1582131,"NY0004","NY",2,2,"","","",NA,NA,NA,NA,NA,NA,"","",NA,"","","",NA,NA,"","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/1992"
"14432","400300000","BROOKLYN PUBLIC LIBRARY","7187807804",1,59,1,298.38,298.38,721.88,"$35083842.00","$5735655.00","$450362.00","$1730718.00","$43000577.00","$4760695.00","$38370537.00",NA,5583072,19486,5283408,9220621,2085,0,3396478,241692,"HQ","NP","MO","KINGS CO.",1580427,"NY0004","NY",2,1,"","","",NA,NA,NA,NA,NA,NA,"","",NA,"","","",NA,NA,"","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/1993"
"50765","6800310000","QUEENS BOROUGH PUBLIC LIBRARY","7189900790",1,62,0,349.13,349.13,798,"$51606408.00","$5811092.00","$395028.00","$4560676.00","$62373204.00","$10385413.00","$65804754.00",NA,8872702,4623,3493048,15783237,3545,7987,4410451,315242,"HQ","NP","MO","QUEENS CO.",1817385,"NY0562","NY",2,1,"Y","$1041040.00","",NA,NA,NA,NA,NA,NA,"","",NA,"","","",NA,NA,"","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/1997"
"59184","400300000","BROOKLYN PUBLIC LIBRARY","7182302403",1,59,1,335.13,388.5,784.88,"$56426479.00","$7313250.00","$566790.00","$4449300.00","$68755819.00","$10475255.00","$67864162.00",NA,6589978,13953,5931666,10319760,276,100,3775494,378091,"HQ","CO","MO","KINGS",2146235,"NY0004","NY",2,2,"Y","$300000.00","CO1",NA,1173.38,124800,9345382,-1,1999,"","",NA,"","","",NA,NA,"","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/1998"
"59719","6800000000","QUEENS BOROUGH PUBLIC LIBRARY","7189908618",1,62,0,336,336,853.13,"$56218379.00","$6572342.00","$278721.00","$4514291.00","$67583733.00","$10860164.00","$65464749.00",NA,9666195,4623,3356976,16882963,7146,4102,4808141,352484,"HQ","CO","MO","QUEENS",1820615,"NY0562","NY",2,2,"Y","$610470.00","CO1",NA,1189.13,138214,15999403,-1,1999,"","",NA,"","","",NA,NA,"","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/1998"
"68178","400300000","BROOKLYN PUBLIC LIBRARY","7182302403",1,59,1,340.38,411.25,783.13,"$62074170.00","$7125556.00","$192681.00","$8343660.00","$77736067.00","$11076364.00","$73077734.00",NA,6495564,14300,6242080,10356623,2611,928,4422712,393729,"HQ","CO","MO","KINGS",2147538,"NY0004","NY",2,2,"Y","$500000.00","CO1",NA,1194.38,132877,9482865,754,2000,"GRAND ARMY PLAZA","5698",NA,"","","",NA,NA,"","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/1999"
"68713","6800000000","QUEENS BOROUGH PUBLIC LIBRARY","7189908618",1,62,0,339.5,339.5,865.38,"$63154224.00","$6059277.00","$1670586.00","$3813113.00","$74697200.00","$12554389.00","$72458460.00",NA,9164358,4623,3382652,17451780,6910,3329,5339005,367162,"HQ","CO","MO","QUEENS",1821721,"NY0562","NY",2,2,"Y","$518291.00","CO1",NA,1204.88,138214,16679761,687,2000,"89-11 MERRICK BOULEVARD","5242",NA,"","","",NA,NA,"","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/1999"
