,Date/Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY 2014,,,,,,,,,,,,FY 2015,,,,,,,,,,,,FY 2016,,,,,,,,,,,
Branch (group),July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June
Arlington,254,350,366,241,281,210,245,242,239,200,236,259,281,227,21,16,8,12,14,162,198,203,184,242,254,268,277,267,291,342,305,310,338,320,323,360
Bay Ridge,624,680,763,526,655,594,573,746,826,795,846,942,1091,934,1018,959,858,1100,876,881,948,1006,940,1085,971,1182,1152,1039,995,1053,996,993,1169,1108,1051,1264
Bedford,352,437,401,326,434,318,375,456,423,342,369,295,369,423,414,453,431,480,401,384,481,449,423,476,497,518,522,542,474,464,488,531,520,464,444,484
Borough Park,392,345,316,276,362,298,277,256,252,266,317,364,390,340,305,278,250,301,210,209,222,279,235,349,329,344,350,375,348,367,368,392,381,371,457,368
Brighton Beach,453,440,382,261,359,274,254,339,357,335,326,289,353,350,384,377,303,414,303,315,355,391,365,402,397,404,328,365,366,371,134,,0,,,0
Brooklyn Heights,224,579,668,717,887,37,801,839,1138,1090,1124,910,538,429,465,426,707,1100,909,996,1143,1303,1121,915,435,479,564,1175,1038,1091,1079,1194,1335,1299,1242,1086
Brower Park,344,375,354,282,310,259,304,324,263,226,255,311,301,294,261,275,210,254,232,212,243,236,235,280,292,256,307,316,316,354,350,294,326,305,314,329
Brownsville,,200,273,205,270,247,191,228,218,241,230,294,317,267,292,275,218,310,220,201,229,242,225,299,309,279,293,309,290,271,284,305,451,496,461,476
Bushwick,203,443,463,380,430,367,346,385,222,229,126,263,334,294,324,349,280,374,291,281,305,295,285,313,324,324,369,391,310,395,321,315,317,328,357,385
Canarsie,467,478,493,365,411,356,377,345,326,377,327,374,356,346,326,403,377,500,400,389,444,456,435,418,400,426,479,488,396,404,400,459,433,422,451,494
Carroll Gardens,138,384,426,332,409,305,360,399,419,302,346,336,330,347,470,420,389,448,363,359,438,404,385,488,484,440,451,444,463,413,473,450,513,500,504,489
Central Library,10221,10343,10618,7922,12393,10941,8827,11951,12352,13830,12336,14978,16019,14805,13998,14199,12369,14149,12988,12473,15143,16981,16994,17238,18575,17402,16521,16526,15614,14985,14535,15128,17590,18747,18497,19790
Clarendon,435,427,509,368,392,345,339,395,320,313,313,353,375,322,359,347,276,369,263,256,267,275,307,353,348,340,336,324,331,346,362,373,422,407,397,429
Clinton Hill,276,423,437,297,,,,,,197,320,406,493,409,499,486,439,517,420,409,431,446,457,534,546,525,565,509,420,453,444,449,489,511,463,498
Coney Island,,,,244,715,682,671,828,775,299,329,339,413,381,385,353,298,348,340,310,360,363,391,374,413,408,336,398,342,400,373,402,465,450,471,486
Cortelyou,830,856,1025,646,806,651,612,743,629,585,563,533,529,560,615,506,435,580,483,440,511,539,497,617,597,628,580,596,557,485,448,497,561,565,543,553
Crown Heights,541,617,635,442,566,430,487,507,532,400,475,523,492,468,478,480,404,490,415,400,380,440,407,420,470,506,524,453,453,474,419,422,426,455,456,508
Cypress Hills,421,474,462,359,508,321,393,478,398,309,320,365,373,415,423,460,425,499,387,385,383,431,389,404,406,446,464,453,459,434,430,461,471,481,497,341
Dekalb,483,536,582,430,526,377,419,499,527,409,474,512,534,495,515,516,439,563,435,383,433,429,451,507,497,548,567,529,489,453,460,446,550,484,493,556
Dyker,8,151,241,170,500,219,181,216,294,291,301,363,269,278,287,310,294,348,306,281,302,323,227,349,296,313,317,324,338,302,281,306,350,331,309,393
East Flatbush,443,476,959,398,670,487,436,495,431,265,315,340,403,377,402,417,378,465,355,356,316,341,322,409,440,429,449,486,412,446,426,417,469,460,469,476
Eastern Parkway,586,674,605,974,220,450,493,575,542,425,464,446,478,524,531,559,520,625,550,508,589,661,621,616,619,611,13,4,17,10,0,,0,408,546,642
Flatbush,294,681,376,240,317,1,333,315,,316,284,209,381,397,436,414,397,515,457,408,474,475,445,573,576,513,357,363,451,471,453,420,525,459,502,453
Flatlands,384,432,510,418,465,400,354,377,325,259,255,4,224,234,264,261,219,271,255,233,212,233,199,224,286,258,288,241,222,250,235,252,238,261,278,312
Fort Hamilton,319,298,197,255,322,291,271,335,392,310,344,348,352,380,406,404,350,433,383,362,343,393,372,420,373,386,430,368,373,378,385,423,436,391,415,356
Gerritsen Beach,,,,78,107,124,89,80,106,111,97,76,140,141,119,127,99,104,91,73,90,94,108,120,112,116,120,101,111,117,110,126,139,146,159,154
Gravesend,268,227,306,179,200,170,188,190,220,221,208,158,166,187,191,205,176,237,198,172,191,222,213,241,219,229,234,245,247,224,260,284,283,284,279,300
Greenpoint,373,344,286,331,438,368,338,395,444,375,363,322,404,145,356,371,357,473,356,353,435,520,377,453,473,464,512,438,440,474,440,443,434,475,500,502
Highlawn,505,440,478,310,527,359,312,428,434,419,426,413,525,430,498,424,387,492,373,353,391,63,400,542,520,556,534,503,538,544,460,445,504,503,480,628
Homecrest,170,161,149,108,131,121,132,131,142,137,144,176,151,160,160,154,151,183,145,158,160,182,214,204,192,198,161,161,187,187,157,196,244,287,245,253
Jamaica Bay,266,269,313,241,318,207,214,267,275,242,236,258,300,265,279,251,182,244,175,186,206,247,187,216,254,228,259,246,225,206,187,229,235,226,246,264
Kensington,647,721,702,577,726,670,559,735,697,613,683,559,676,628,667,689,608,814,639,630,681,623,635,592,645,577,616,662,657,713,636,621,695,760,699,676
Kings Bay,298,564,329,228,317,10,275,314,,321,40,189,357,323,374,415,377,465,340,329,377,379,315,387,378,386,418,422,381,389,369,422,392,386,371,271
Kings Highway,910,969,913,773,1043,1037,862,1121,1270,1136,1166,750,1058,1129,1231,1218,1131,1269,1081,1074,1266,1440,1376,1531,1279,1351,1196,1372,1309,1277,1256,1353,1593,1424,1617,1737
Leonard,426,457,450,304,444,338,378,418,454,347,438,484,474,481,414,401,368,453,310,331,389,290,309,431,446,436,404,426,408,433,391,440,443,415,443,466
